Straight,EP,USP,Knot security,Diameter,Tie-down,Fast Avg,Fast Min,Moisture
,8.17,,7.18,0.487,,5.37,5.14,
,8.09,,6.11,0.483,,5.63,5.15,
13.21,8.11,7.25,6.38,0.491,1.09,5.58,5.32,59
,8.19,,6.44,0.485,,5.55,5.15,80
,8.19,,6.43,0.491,,5.73,5.33,
,8.25,,5.99,0.485,,5.70,5.50,
12.42,8.28,7.19,6.39,0.481,0.99,5.37,5.08,183
,8.46,,6.36,0.491,,5.57,5.18,197
,8.14,,6.35,0.494,,5.57,5.29,168
,8.46,,6.60,0.490,,5.54,5.17,
,8.22,,6.80,0.484,,5.98,4.94,
13.63,8.29,7.34,6.27,0.484,0.92,5.64,5.29,144
,8.03,,6.49,0.487,,5.84,5.65,166
,8.43,,6.89,0.485,,5.45,5.19,165
,8.05,,6.80,0.485,,5.64,5.50,
,8.03,,6.62,0.480,,5.68,5.37,
,7.96,,6.32,0.485,,5.61,5.32,
,7.87,,6.57,0.482,,5.63,5.43,
13.55,8.08,7.03,6.59,0.484,0.77,5.72,5.48,95
,8.13,,6.77,0.493,,5.61,5.11,140
,7.82,,6.34,0.492,,5.76,5.50,138
,8.05,,6.17,0.488,,5.58,5.34,
,7.85,,6.44,0.492,,5.52,5.12,
,7.61,,6.38,0.481,,5.67,5.10,
,8.10,,6.64,0.494,,5.40,4.96,
,7.88,,6.79,0.483,,5.83,5.38,
13.35,7.94,7.59,6.60,0.480,0.80,6.08,5.89,66
,7.90,,6.68,0.482,,5.96,5.75,105
,7.85,,7.04,0.489,,6.00,5.81,
,8.29,,6.88,0.498,,6.14,5.87,
13.66,7.88,6.70,6.71,0.485,0.84,5.46,5.36,49
,7.87,,6.67,0.474,,5.74,5.51,51
,8.02,,6.35,0.481,,5.39,4.93,82
,7.92,,6.54,0.492,,5.38,5.16,
,7.96,,6.85,0.481,,5.72,5.21,
,7.49,,6.69,0.479,,5.62,5.41,
12.96,7.97,7.24,5.89,0.491,0.87,5.50,5.40,78
,7.79,,6.37,0.484,,5.69,5.21,96
,8.03,,6.08,0.495,,5.92,5.48,126
,7.91,,6.15,0.489,,6.16,5.96,78
,8.01,,7.09,0.491,,6.22,6.00,
,7.81,,6.51,0.486,,6.50,6.10,
,8.08,,6.69,0.484,,5.58,5.52,
13.61,8.03,7.06,6.35,0.495,0.99,5.61,5.28,101
,7.94,,6.78,0.488,,5.64,5.18,129
,7.88,,6.79,0.485,,5.65,5.39,145
,8.01,,6.55,0.493,,5.54,5.41,109
,7.96,,6.89,0.481,,5.96,5.71,
,7.92,,6.97,0.484,,5.33,5.14,
,7.71,,7.10,0.479,,5.82,5.51,
12.77,7.91,7.00,7.07,0.493,0.87,5.98,5.83,110
,7.97,,6.65,0.497,,6.12,5.83,102
,8.03,,7.09,0.484,,6.16,5.99,
,7.91,,7.24,0.495,,6.22,5.91,
,8.01,,6.92,0.484,,6.27,5.97,
,7.93,,7.27,0.482,,5.57,5.53,
13.67,7.87,7.06,7.11,0.489,0.88,5.38,5.01,70
,7.78,,6.91,0.496,,5.92,5.48,58
,7.89,,6.65,0.489,,5.80,5.56,
,8.02,,6.42,0.487,,5.61,5.54,
,7.58,,6.67,0.490,,5.61,5.18,
,7.74,,6.60,0.482,,6.08,5.90,
13.54,8.19,7.56,6.56,0.499,1.07,5.74,5.57,148
,8.08,,7.37,0.478,,5.99,5.84,105
,7.79,,7.17,0.477,,5.98,5.49,
,8.01,,7.43,0.498,,5.60,5.48,
,8.04,,6.59,0.486,,5.85,5.35,
,7.81,,7.01,0.486,,6.38,6.15,
13.09,7.80,7.12,6.54,0.489,0.83,5.45,5.23,149
,7.86,,6.73,0.489,,5.58,5.39,139
,8.05,,6.75,0.482,,6.00,5.64,179
,7.98,,6.46,0.478,,6.03,5.84,
,8.10,,6.63,0.483,,5.60,5.31,
,8.02,,6.96,0.487,,5.78,5.51,
13.26,8.33,7.66,6.76,0.498,0.92,5.96,5.82,68
,8.52,,7.33,0.492,,5.91,5.66,185
,8.42,,6.47,0.483,,5.99,5.20,
,8.43,,6.71,0.486,,6.12,5.96,
,8.08,,6.21,0.484,,5.80,5.55,
13.15,7.95,7.07,6.60,0.483,0.93,5.72,5.51,58
,7.92,,6.16,0.475,,5.67,5.08,152
,7.98,,6.41,0.476,,5.69,4.84,200
,8.25,,5.57,0.483,,5.90,5.22,
12.90,8.10,7.05,6.89,0.487,0.93,5.35,5.20,142
,7.92,,6.70,0.485,,5.36,5.17,174
,7.92,,6.72,0.499,,5.79,5.43,
,8.46,,6.68,0.495,,5.50,5.28,
,8.42,,6.87,0.494,,6.00,5.74,
13.62,8.21,7.22,6.94,0.491,0.95,5.42,5.03,153
,8.13,,6.83,0.496,,5.46,5.07,86
,8.03,,6.63,0.493,,5.62,5.20,153
,8.13,,6.77,0.493,,5.33,5.13,
,7.99,,6.70,0.492,,5.31,4.95,
,8.12,,,,,5.87,5.73,
,8.10,,,,,5.39,5.03,
,8.44,,7.20,0.486,,5.52,5.27,140
,8.32,,7.48,0.498,,5.50,5.23,97
,7.87,,6.84,0.493,,5.60,5.46,
,8.36,,7.08,0.487,,5.61,5.24,
,8.35,,6.99,0.492,,5.68,5.07,
13.44,8.03,7.23,6.69,0.482,0.98,5.47,5.20,140
,8.04,,7.06,0.483,,5.82,5.55,194
,8.15,,7.03,0.479,,6.02,5.84,
,8.30,,6.52,0.485,,6.14,5.54,
12.88,8.42,7.75,6.82,0.484,0.99,6.17,5.98,160
,8.36,,6.17,0.494,,6.12,5.94,217
,8.35,,6.58,0.492,,5.76,5.52,
,8.14,,6.79,0.483,,5.64,5.59,
13.01,8.16,7.22,6.98,0.487,0.90,5.64,5.22,138
,8.76,,7.32,0.494,,5.99,5.58,160
,8.33,,6.74,0.479,,5.79,5.58,
,8.38,,7.04,0.489,,6.00,5.88,
,8.20,,6.90,0.482,,6.15,5.91,
13.88,8.34,7.21,6.89,0.495,1.01,5.88,5.35,120
,8.25,,7.14,0.490,,5.84,5.67,290
,8.14,,6.48,0.497,,5.86,5.62,
,8.00,,7.02,0.481,,5.95,5.87,
,8.37,,6.94,0.486,,5.78,5.44,
13.27,8.23,7.21,7.02,0.484,1.25,5.72,5.36,78
,8.34,,6.88,0.487,,5.59,5.39,90
,8.09,,7.09,0.485,,5.48,5.37,139
,7.89,,7.06,0.487,,5.44,5.06,
,8.35,,7.23,0.477,,5.61,5.49,
13.70,8.40,7.45,7.19,0.492,1.17,5.81,5.61,203
,7.95,,6.94,0.482,,5.63,5.31,171
,8.36,,6.68,0.489,,5.99,5.84,115
,8.29,,6.49,0.496,,5.61,5.44,
,8.26,,6.69,0.488,,5.45,5.20,
,8.00,,6.57,0.491,,5.65,5.54,
,8.18,,6.89,0.486,,5.86,5.78,
13.64,7.97,7.09,6.63,0.487,1.02,5.85,5.54,219
,8.16,,7.00,0.483,,5.77,5.56,179
,8.03,,6.55,0.494,,5.41,5.17,171
,7.69,,6.45,0.481,,5.29,5.04,
,7.55,,6.79,0.487,,5.71,5.55,
,7.65,,6.66,0.490,,5.72,5.50,
13.48,7.82,7.40,6.51,0.484,0.70,5.75,5.43,20
,7.90,,6.49,0.486,,5.57,5.15,25
,7.93,,6.32,0.484,,5.95,5.63,25
,7.85,,6.45,0.477,,5.77,5.60,
,8.21,,7.14,0.487,,5.59,5.64,
12.55,7.85,6.91,6.76,0.495,0.71,6.17,5.49,62
,7.90,,7.15,0.485,,5.88,5.66,66
,8.20,,6.99,0.493,,6.02,5.71,
,8.27,,6.82,0.489,,5.90,5.66,
13.43,8.37,7.31,6.82,0.496,0.81,6.00,5.47,113
,8.03,,6.82,0.487,,5.99,5.69,118
,8.09,,7.51,0.491,,5.96,5.71,232
,8.18,,6.69,0.499,,6.05,5.86,
,8.08,,6.58,0.494,,5.92,5.79,
,8.15,,6.80,0.494,,5.59,5.29,
,8.26,,6.78,0.483,,5.94,5.72,
13.57,7.94,7.43,6.24,0.488,0.91,5.55,5.17,141
,7.68,,6.42,0.484,,5.90,5.70,124
,7.93,,6.94,0.482,,5.98,5.63,
,8.16,,6.66,0.485,,6.19,5.86,
,8.16,,6.97,0.490,,6.26,6.07,
12.98,7.64,7.65,6.00,0.493,1.01,5.53,5.25,168
,7.78,,6.15,0.486,,5.26,4.94,165
,7.72,,6.30,0.482,,5.69,5.51,
13.12,7.68,6.82,6.65,0.485,0.82,5.41,5.32,57
,8.15,,7.52,0.483,,5.52,5.00,173
,8.05,,7.29,0.485,,5.90,4.90,74
,8.18,,7.38,0.492,,5.62,5.11,
,7.93,,7.26,0.482,,5.54,4.95,
,7.97,,7.25,0.493,,5.91,5.30,
,8.17,,7.21,0.487,,5.85,5.02,
13.06,7.90,7.05,7.14,0.487,0.85,5.48,4.97,101
,8.24,,7.21,0.479,,5.70,5.37,112
,8.28,,6.71,0.488,,5.50,5.28,124
,8.11,,6.06,0.492,,6.28,6.02,107
,8.14,,6.88,0.482,,5.69,5.47,
12.80,7.82,6.97,6.77,0.482,0.78,5.86,5.66,162
,7.81,,7.24,0.484,,5.85,5.54,149
,7.77,,6.51,0.488,,5.54,5.32,
,8.04,,6.76,0.484,,6.09,5.77,
,7.70,,6.71,0.482,,5.57,5.41,
,7.94,,6.67,0.493,,5.65,5.13,
,7.63,,6.15,0.489,,5.35,5.12,
13.86,8.02,6.95,6.61,0.478,0.93,6.19,6.00,60
,7.85,,6.35,0.481,,5.87,5.71,102
,8.00,,7.23,0.480,,6.22,5.81,34
,7.96,,6.66,0.483,,6.03,5.72,
,7.89,,6.56,0.489,,5.93,5.66,
,7.86,,6.47,0.490,,6.01,5.61,
,7.96,,6.68,0.482,,5.77,5.32,
13.10,7.80,7.12,6.41,0.477,1.12,6.29,6.03,101
,7.68,,6.76,0.480,,6.00,5.47,115
,7.62,,6.57,0.480,,5.90,5.66,143
,7.37,,6.43,0.478,,6.02,5.71,
,7.64,,6.07,0.480,,5.88,5.62,
,7.97,,5.68,0.480,,6.17,5.49,
,7.69,,6.11,0.474,,5.96,5.68,
13.29,7.75,6.94,6.82,0.488,0.94,6.15,5.81,139
,8.13,,6.56,0.474,,5.93,5.69,186
,8.10,,6.51,0.485,,5.79,5.50,193
,8.03,,6.53,0.478,,6.21,5.94,
,7.76,,6.62,0.484,,5.61,5.40,
13.40,7.82,7.09,6.59,0.482,0.72,6.28,6.13,120
,8.28,,7.09,0.484,,6.44,6.09,124
,8.30,,6.61,0.482,,6.34,6.03,116
,8.26,,6.54,0.486,,5.80,5.25,
,8.14,,6.56,0.483,,6.42,6.10,
13.69,8.27,6.86,6.36,0.486,0.91,6.35,6.12,102
,8.24,,5.91,0.491,,5.99,5.73,103
,7.56,,7.05,0.481,,5.58,5.31,124
,7.90,,6.82,0.479,,6.20,5.73,
,8.11,,5.85,0.484,,5.86,5.66,
,7.95,,6.44,0.486,,6.24,6.09,
,8.13,,6.69,0.480,,6.63,6.40,
12.98,7.73,6.89,6.43,0.478,0.72,6.27,6.00,109
,8.05,,6.42,0.480,,6.19,5.93,129
,8.15,,6.56,0.489,,6.71,6.58,90
,8.25,,6.49,0.487,,6.39,6.08,
,8.19,,7.16,0.499,,6.29,6.16,
,8.31,,7.80,0.489,,6.42,6.12,
13.61,8.26,7.79,7.55,0.493,1.19,5.82,5.39,91
,8.46,,7.89,0.498,,6.61,6.31,61
,8.60,,7.66,0.499,,6.63,6.35,
,8.22,,6.54,0.498,,5.96,5.70,
,8.28,,6.99,0.498,,6.63,6.50,
13.47,8.05,7.75,7.21,0.491,1.26,5.75,5.48,84
,8.06,,6.84,0.492,,6.05,5.99,79
,8.09,,6.54,0.482,,6.39,5.90,
,8.28,,6.75,0.489,,6.51,6.24,
,7.97,,6.70,0.486,,6.17,5.96,
13.12,8.05,7.22,7.11,0.479,0.88,6.18,6.01,59
,8.02,,6.83,0.485,,6.25,5.82,57
,8.08,,6.66,0.485,,5.99,5.67,110
,8.24,,6.83,0.490,,6.31,6.08,
,7.97,,6.77,0.493,,6.30,6.11,
,8.18,,6.73,0.493,,6.00,5.66,
,8.10,,6.84,0.497,,6.09,5.82,
13.12,8.19,7.48,6.92,0.491,0.80,6.54,6.38,94
,8.40,,6.95,0.493,,6.47,6.11,
13.58,7.85,7.24,6.93,0.493,1.15,6.19,6.03,88
,7.89,,7.13,0.484,,6.39,6.21,59
,8.32,,6.48,0.491,,6.49,6.24,69
,7.78,,6.91,0.487,,6.18,6.03,
,8.02,,6.63,0.495,,6.26,6.19,
13.07,8.18,7.28,6.50,0.497,0.90,6.40,6.13,107
,7.95,,6.84,0.498,,6.12,5.84,151
,8.23,,6.90,0.485,,6.34,5.66,TS
,8.03,,6.36,0.492,,6.19,5.99,
,7.85,,6.94,0.493,,6.56,6.30,
,8.25,,6.94,0.489,,6.48,6.22,
13.45,7.97,7.58,6.68,0.481,0.84,6.16,5.95,69
,8.28,,6.71,0.497,,6.02,5.89,139
,8.20,,7.18,0.489,,6.39,6.20,
,8.17,,7.01,0.498,,6.28,6.11,
,8.18,,6.64,0.497,,5.77,5.30,
,8.11,,6.69,0.492,,6.40,6.15,
13.66,8.17,7.40,6.69,0.481,0.93,6.31,5.93,79
,8.13,,7.29,0.485,,6.65,6.09,39
,8.11,,6.39,0.490,,6.21,5.68,70
,8.31,,6.71,0.484,,6.33,5.98,56
,8.05,,7.00,0.487,,5.99,5.67,
,8.08,,7.16,0.485,,6.37,5.81,
13.44,8.25,7.28,6.80,0.483,0.75,6.06,5.85,64
,8.07,,7.09,0.483,,6.33,5.98,65
,7.83,,6.63,0.473,,6.53,6.24,74
,7.86,,6.70,0.483,,6.19,6.02,
,7.90,,6.37,0.486,,6.48,6.27,
13.69,7.93,7.51,6.62,0.477,1.09,6.20,5.92,93
,7.60,,6.66,0.486,,6.16,5.82,62
,8.02,,6.40,0.479,,6.04,5.52,80
,8.03,,6.96,0.479,,6.01,5.53,65
,7.86,,7.63,0.492,,6.31,6.02,
,8.37,,7.26,0.496,,6.10,5.78,
13.39,8.10,7.64,7.38,0.496,0.84,6.86,6.55,52
,8.20,,7.41,0.499,,6.56,6.20,
13.26,7.97,7.16,7.10,0.494,1.14,6.16,5.81,102
,8.14,,7.18,0.488,,6.28,5.88,124
,8.15,,7.27,0.494,,5.84,5.65,113
,8.25,,7.20,0.498,,6.27,6.10,
,7.94,,7.76,0.481,,6.01,5.64,
,7.92,,7.41,0.491,,5.84,5.57,
14.08,8.13,7.49,7.23,0.491,0.90,6.26,6.04,55
,8.62,,7.59,0.491,,6.65,6.23,57
,8.42,,7.41,0.497,,6.50,6.31,72
,8.57,,6.99,0.492,,5.85,5.21,
,7.94,,7.31,0.487,,6.22,5.63,
,8.42,,7.35,0.484,,6.44,6.26,
13.98,8.34,7.75,7.64,0.492,1.12,6.06,5.75,43
,8.05,,6.43,0.485,,6.53,6.34,96
,8.00,,7.08,0.484,,6.38,6.18,44
,8.03,,7.08,0.490,,6.09,5.65,61
,8.12,,7.11,0.487,,5.79,5.60,
,8.19,,6.98,0.487,,6.29,5.87,
,7.96,,6.85,0.494,,6.26,5.85,
13.84,8.40,7.48,6.72,0.492,1.30,6.13,5.75,51
,8.20,,6.92,0.488,,6.41,5.93,46
,8.07,,7.18,0.488,,6.11,5.70,50
,8.26,,6.89,0.488,,6.55,6.27,
,7.95,,6.64,0.495,,5.93,5.48,
,7.91,,7.07,0.482,,6.35,6.05,
13.72,8.18,7.44,6.71,0.482,0.84,6.61,6.36,43
,7.94,,6.75,0.483,,5.86,5.51,33
,8.01,,6.92,0.494,,6.70,6.56,73
,8.10,,6.72,0.493,,6.50,6.13,
,8.03,,6.94,0.493,,6.66,6.24,
,8.31,,6.86,0.490,,6.69,6.32,
,8.40,,6.95,0.496,,6.60,6.34,
13.14,8.29,7.45,6.93,0.491,0.84,5.73,5.16,80
,8.03,,6.73,0.487,,6.28,6.08,83
,7.83,,6.53,0.484,,6.40,6.00,54
,8.38,,6.34,0.496,,6.17,6.05,
,7.85,,6.89,0.484,,5.89,5.76,
,8.05,,7.43,0.487,,6.16,5.90,
13.87,8.16,7.49,7.18,0.489,1.02,5.97,5.54,64
,7.97,,7.29,0.484,,6.11,5.99,83
,7.89,,6.98,0.484,,6.15,6.06,99
,7.82,,6.96,0.486,,5.91,5.70,
,7.81,,6.79,0.484,,5.71,5.48,
,7.96,,7.07,0.491,,6.17,5.94,
13.16,7.92,7.22,6.88,0.486,1.13,5.64,5.37,93
,7.89,,6.52,0.480,,6.04,5.62,95
,7.75,,6.86,0.490,,6.09,5.59,82
,8.09,,6.55,0.492,,5.89,5.58,
,8.21,,7.51,0.491,,5.63,5.23,
,8.20,,7.92,0.498,,6.06,5.80,
13.72,8.00,7.70,7.38,0.488,1.04,5.70,5.21,28
,8.15,,7.55,0.492,,5.69,5.31,35
,8.06,,7.26,0.489,,6.38,5.97,45
,8.30,,7.09,0.479,,6.15,5.83,55
,8.22,,7.66,0.495,,5.77,5.59,
,8.03,,6.72,0.481,,6.05,5.68,
13.88,8.32,7.00,6.73,0.484,1.13,6.08,5.91,29
,8.09,,6.77,0.488,,5.86,5.63,47
,8.28,,6.94,0.482,,5.95,5.43,55
,8.15,,7.20,0.480,,5.98,5.70,
,8.00,,6.50,0.477,,5.97,5.75,
,8.01,,6.58,0.487,,5.67,5.49,
13.60,8.07,7.46,6.91,0.484,1.02,5.84,5.57,68
,8.25,,6.68,0.488,,6.27,6.08,62
,7.78,,6.34,0.482,,6.19,5.84,79
,7.88,,6.92,0.481,,5.71,5.63,
,7.92,,6.68,0.483,,6.24,5.90,
13.07,7.83,7.33,7.56,0.476,0.81,5.74,5.32,81
,7.82,,6.69,0.485,,5.87,5.55,38
,7.95,,6.69,0.483,,6.01,5.68,39
,8.15,,6.73,0.481,,6.02,5.70,
,8.00,,7.06,0.491,,6.26,6.00,
,7.95,,7.06,0.494,,6.26,6.08,
13.44,7.83,7.61,7.21,0.479,0.91,6.05,5.89,66
,7.87,,6.88,0.476,,6.18,5.52,74
,8.14,,7.59,0.485,,5.90,5.53,96
,8.24,,7.03,0.476,,5.77,5.55,
,8.04,,6.99,0.483,,5.92,5.85,
,8.14,,7.27,0.491,,6.17,5.64,
,7.97,,7.12,0.484,,6.02,5.76,
12.68,7.55,7.10,6.85,0.475,0.74,5.40,4.99,70
,8.06,,6.84,0.482,,5.84,5.67,71
,7.71,,6.63,0.476,,5.39,5.10,127
,7.66,,6.76,0.458,,5.50,5.17,
,8.24,,7.37,0.490,,5.88,5.60,
,7.95,,6.95,0.480,,5.91,5.47,
13.57,8.33,7.09,6.98,0.499,1.02,5.86,5.52,78
,7.99,,7.04,0.485,,6.39,6.20,90
,8.84,,6.75,0.499,,6.36,6.01,60
,8.53,,7.26,0.493,,6.21,5.86,
,8.06,,6.74,0.484,,6.28,6.00,
,8.17,,6.31,0.483,,6.30,6.16,
,7.91,,6.92,0.480,,5.98,5.58,
12.81,7.77,7.04,6.56,0.481,1.25,5.43,5.08,96
,8.00,,6.83,0.476,,5.99,5.70,183
,8.15,,7.45,0.477,,5.96,5.55,90
,7.88,,7.01,0.478,,6.39,6.03,
,7.98,,6.99,0.481,,6.28,6.02,
,7.99,,7.33,0.491,,6.17,5.92,
,8.02,,6.68,0.473,,6.26,5.85,
,8.24,,7.03,0.481,,6.36,6.03,
13.57,8.35,7.41,7.07,0.486,0.77,5.97,5.73,41
,8.14,,7.13,0.490,,6.18,6.07,33
,8.48,,7.22,0.486,,6.18,6.04,32
,8.41,,7.15,0.492,,5.65,5.33,
,7.96,,7.23,0.494,,5.80,5.55,
13.08,7.98,7.55,6.96,0.479,1.02,5.64,5.40,60
,7.98,,6.93,0.485,,5.80,5.54,51
,8.04,,7.05,0.485,,5.63,5.42,59
,8.07,,6.97,0.493,,6.25,5.77,22
,8.34,,6.78,0.485,,5.97,5.60,
,8.08,,6.89,0.486,,5.97,5.71,
14.18,8.47,7.25,7.08,0.495,0.71,6.34,5.70,47
,8.05,,7.11,0.488,,6.33,5.75,37
,8.44,,7.44,0.484,,6.28,6.14,56
,8.13,,7.45,0.488,,6.11,5.25,54
,8.28,,7.57,0.495,,6.73,6.51,
,8.16,,6.40,0.485,,6.10,5.71,
,8.37,,7.31,0.487,,6.71,6.54,
13.82,8.23,7.46,7.00,0.480,1.31,6.29,5.95,21
,7.99,,6.75,0.478,,6.09,5.73,76
,8.26,,7.07,0.482,,6.77,6.64,73
,8.01,,7.14,0.481,,6.75,6.49,
,7.91,,7.22,0.493,,6.34,6.26,
13.89,7.99,7.06,6.66,0.483,1.20,6.32,5.88,20
,8.01,,6.82,0.479,,6.34,5.77,23
,8.08,,7.05,0.479,,6.23,6.13,40
,8.47,,7.22,0.499,,6.75,6.52,
,8.47,,7.54,0.494,,6.49,6.21,
,8.41,,7.60,0.482,,6.51,6.28,
13.86,8.23,7.85,7.34,0.483,1.28,6.83,6.67,39
,8.29,,7.58,0.493,,6.60,6.37,34
,8.22,,6.61,0.491,,6.37,6.09,46
,8.34,,7.23,0.496,,6.50,6.11,
,8.36,,7.51,0.488,,6.43,6.31,
,8.09,,6.59,0.469,,6.49,6.20,
,8.03,,6.96,0.478,,6.67,6.57,
,7.96,,6.91,0.480,,6.44,6.26,
,8.31,,7.22,0.484,,6.48,6.25,
12.97,8.08,7.34,6.79,0.496,1.08,6.53,6.06,51
,7.98,,6.85,0.495,,6.53,6.23,30
,7.97,,6.88,0.493,,6.28,6.08,40
,7.92,,7.24,0.497,,5.93,5.56,86
,7.84,,7.13,0.485,,6.13,5.75,
,8.30,,6.75,0.488,,5.78,5.25,
,8.20,,6.93,0.486,,6.06,5.79,
13.27,8.00,6.81,6.85,0.482,0.84,5.64,5.23,68
,7.99,,6.85,0.483,,6.20,6.03,51
,7.86,,6.69,0.488,,5.91,5.64,100
,7.94,,6.99,0.480,,5.82,5.52,120
,7.98,,6.68,0.488,,6.12,5.55,
,8.28,,6.59,0.490,,6.45,6.26,
13.44,8.06,7.46,6.70,0.487,0.95,6.35,6.04,69
,7.95,,6.57,0.483,,6.44,6.12,115
,7.89,,6.65,0.483,,6.63,6.13,117
,8.14,,6.57,0.494,,6.40,6.25,
,7.79,,6.80,0.484,,5.82,5.45,
,7.96,,6.54,0.477,,6.37,6.15,
13.32,8.21,7.26,6.74,0.493,1.08,6.64,6.27,46
,8.07,,7.02,0.487,,6.44,6.30,20
,8.33,,7.41,0.492,,6.27,6.13,60
,8.33,,7.12,0.490,,6.47,6.16,79
,8.06,,6.80,0.482,,6.54,6.29,
,8.08,,6.86,0.486,,6.37,6.20,
,8.02,,6.71,0.483,,6.69,6.19,
12.54,8.06,7.33,7.34,0.479,0.73,6.43,6.22,42
,8.24,,7.36,0.489,,5.58,5.11,69
,8.28,,6.85,0.483,,6.30,6.07,84
,7.99,,7.29,0.493,,6.05,5.87,
,8.31,,6.93,0.498,,5.77,5.49,
,7.93,,7.07,0.487,,6.33,5.91,
14.34,8.57,7.61,7.70,0.495,0.75,6.59,6.32,58
,8.42,,7.34,0.487,,6.49,6.22,
,8.61,,7.26,0.499,,6.88,6.70,
,8.16,,7.26,0.489,,7.01,6.80,
13.34,8.38,7.76,7.01,0.482,0.85,6.53,6.16,64
,8.26,,6.49,0.485,,6.01,5.58,81
,8.46,,6.96,0.496,,6.30,6.18,48
,7.96,,6.66,0.481,,6.01,5.86,
,8.07,,6.98,0.486,,5.62,5.28,
,8.33,,7.47,0.483,,6.47,6.18,
13.41,8.32,7.31,6.74,0.478,1.16,6.49,6.26,52
,8.14,,6.61,0.487,,6.70,6.22,20
,8.38,,6.28,0.490,,6.56,6.44,51
,8.26,,6.57,0.489,,6.39,6.13,39
,8.09,,6.97,0.486,,6.63,6.23,
,8.48,,7.71,0.496,,6.31,6.15,
13.46,8.22,7.43,6.71,0.476,1.13,6.19,6.02,20
,8.10,,6.76,0.479,,6.32,6.06,20
,8.36,,7.50,0.484,,6.24,6.04,20
,8.27,,6.27,0.475,,6.23,5.93,
,8.01,,6.97,0.479,,5.65,5.10,
,8.26,,7.70,0.484,,6.31,5.80,
14.00,7.80,7.55,7.10,0.486,1.14,6.52,6.31,30
,8.17,,7.50,0.491,,6.22,5.88,40
,8.37,,7.62,0.481,,5.79,5.21,37
,8.26,,7.37,0.477,,6.55,6.11,24
,8.33,,7.34,0.479,,6.44,6.23,
,7.87,,6.63,0.480,,6.44,6.29,
,8.51,,6.84,0.485,,6.52,6.25,
13.40,8.06,7.57,7.26,0.482,0.89,6.04,5.86,96
,8.48,,7.08,0.485,,6.49,6.33,173
,8.35,,7.24,0.489,,6.37,6.02,137
,8.43,,7.89,0.497,,6.38,5.96,
,8.22,,7.09,0.484,,6.58,6.41,
,8.27,,7.59,0.486,,6.80,6.66,
,8.50,,7.18,0.493,,6.80,6.48,
13.18,8.07,7.80,7.18,0.497,1.02,6.68,6.13,109
,7.91,,7.24,0.487,,6.19,5.91,93
,7.95,,6.55,0.490,,6.00,5.68,112
,8.29,,7.24,0.497,,5.99,5.64,87
,7.97,,7.36,0.482,,6.53,6.27,
,7.84,,7.16,0.491,,6.56,6.30,
,7.80,,7.03,0.480,,6.34,6.13,
13.38,8.17,7.63,7.21,0.497,0.87,6.44,6.12,47
,7.90,,7.47,0.488,,6.43,6.15,39
,8.27,,6.95,0.487,,6.37,6.10,63
,8.09,,7.31,0.494,,6.00,5.57,
,8.41,,6.87,0.487,,6.33,5.97,
,7.80,,6.72,0.499,,5.86,5.15,
,7.71,,6.87,0.493,,6.14,6.01,
,7.99,,6.85,0.495,,6.38,6.22,
13.16,7.85,7.00,6.90,0.485,1.08,5.22,4.88,71
,7.85,,6.34,0.480,,5.89,5.63,108
,7.98,,7.05,0.497,,5.84,5.55,75
,8.25,,6.62,0.484,,5.83,5.68,
,8.02,,6.89,0.483,,5.90,5.71,
,7.76,,7.12,0.486,,5.68,5.47,
,8.27,,6.77,0.486,,6.28,6.02,
13.54,8.21,7.35,7.03,0.496,0.80,5.74,5.47,53
,7.89,,7.22,0.477,,5.20,4.76,63
,7.82,,7.18,0.485,,5.39,5.06,74
,7.92,,6.80,0.488,,5.47,5.15,
,7.81,,6.55,0.480,,5.77,5.61,
,7.91,,7.24,0.485,,5.74,5.52,
,7.79,,6.82,0.477,,5.79,5.63,
13.13,8.23,7.43,6.96,0.488,1.51,5.55,5.08,66
,8.18,,7.44,0.478,,6.23,5.91,86
,7.95,,7.19,0.475,,6.07,5.92,74
,7.87,,7.34,0.471,,6.07,5.60,
,8.11,,7.36,0.483,,6.08,5.88,
,7.89,,7.73,0.487,,6.17,5.82,
,8.00,,6.88,0.483,,5.68,4.91,
,8.31,,7.32,0.490,,6.50,6.42,
13.51,8.12,7.16,7.00,0.480,1.15,6.28,6.17,113
,8.29,,7.39,0.488,,6.00,5.55,92
,8.30,,7.50,0.486,,6.09,5.64,67
,8.02,,5.92,0.482,,6.23,5.92,
,8.31,,6.62,0.479,,5.89,5.25,
,8.08,,6.82,0.490,,6.33,6.16,
13.54,8.13,7.35,6.59,0.483,1.08,6.02,5.75,45
,7.78,,7.32,0.484,,5.96,5.57,52
,8.03,,6.69,0.489,,6.01,5.76,85
,7.89,,6.53,0.496,,5.70,5.27,
,7.89,,6.89,0.489,,6.04,5.86,
,8.22,,6.69,0.489,,6.10,5.91,
,8.06,,7.15,0.494,,6.44,6.31,
12.73,8.10,7.38,7.24,0.486,0.87,5.71,5.34,64
,8.50,,6.70,0.492,,6.30,5.97,70
,8.11,,6.26,0.490,,6.29,5.79,115
,8.14,,6.95,0.486,,6.20,6.02,91
,8.23,,6.37,0.499,,6.26,5.96,
,8.33,,6.80,0.492,,5.68,5.47,
,8.19,,6.39,0.491,,6.23,5.65,
13.17,8.38,7.22,6.90,0.490,0.81,5.71,5.08,85
,8.15,,6.80,0.489,,6.42,6.20,116
